Plate,well,code,Gradient_Temperature,Symbiont,Rdark26,QYdark26,NPQdark26,NPlight26,QYlight26,NPQlight26,LEDRgradient,QYgradient,NPQgradient
C-Warm,Area 7,C-Warm Area 7,38,C,-2.7435377777776413,0.6578117733508089,0.1355998941650931,-9.21771466666653,0.4379168138585547,0.5770557270938156,34.64956444444457,0.5654128574126632,0.5283974662114583
C-Warm,Area 8,C-Warm Area 8,37,C,-87.89407111111124,0.6372433135012022,0.1139039708810794,-117.63136266666689,0.3938003970371425,0.5083236159623412,-619.4849272222223,0.5689952089057828,0.38339973660462784
C-Warm,Area 9,C-Warm Area 9,34,C,42.431160000000006,0.610838701030097,0.0629942777154326,-71.1475946666666,0.37461311020427923,0.3892143580977841,-576.2532461111113,0.5527050112675995,0.20728145096847406
MIX-Cold,Area 1,MIX-Cold Area 1,29,MIX,8.422066666666716,0.6601773974744638,0.05564125290859833,6.629893333333166,0.42025456028223085,0.42961665613507577,-99.1036916666667,0.583094582131041,0.4301806768497644
MIX-Cold,Area 10,MIX-Cold Area 10,24,MIX,-31.94719999999975,0.5968321474224111,0.07461287201467619,-111.39915466666648,0.3479408157577784,0.39147836684049925,-517.3411516666664,0.5418670458990156,0.25931774992588374
MIX-Cold,Area 11,MIX-Cold Area 11,21,MIX,-4.684862222222,0.6410657272754987,0.054317303217311486,1.4280986666668705,0.3688561767857462,0.46794276080280195,37.81058222222252,0.6023112893640298,0.291221412955888
MIX-Cold,Area 12,MIX-Cold Area 12,20,MIX,-18.744582222222217,0.6555409115583237,0.04898161101968941,-20.06914933333324,0.38631089416561015,0.546880718791265,24.68744000000014,0.6135021022032813,0.5857929209984163
MIX-Cold,Area 13,MIX-Cold Area 13,29,MIX,-18.053715555555392,0.6780648167333014,0.08619629508805765,-47.7141386666664,0.40807637307359046,0.710076334106767,-338.67495555555524,0.5899383865636879,0.5515544784954179
MIX-Cold,Area 14,MIX-Cold Area 14,28,MIX,13.062431111111154,0.6481805107234136,0.05357660047305766,30.11088266666678,0.3618398629475887,0.5600546903403965,-523.2266327777777,0.5985776243820158,0.3527488916735951
MIX-Cold,Area 15,MIX-Cold Area 15,26,MIX,17.800977777777813,0.6405623843713077,0.07732911282398912,-15.083141333333334,0.3733923465072385,0.5494808381257051,-316.18576277777777,0.5816790352118302,0.4579195595762581
MIX-Cold,Area 16,MIX-Cold Area 16,24,MIX,-31.65957777777771,0.5964495229349673,0.06070190118095967,-61.01823999999993,0.3470464712767772,0.4183038631178391,-322.68653055555546,0.5740842708994747,0.33447596759412457
MIX-Cold,Area 17,MIX-Cold Area 17,21,MIX,0.0395688888885261,0.6110477305012056,0.057303515768555455,-20.551760000000215,0.3616017015462928,0.4042099737968216,-125.66875666666687,0.5983791928634778,0.22989379566609863
MIX-Cold,Area 18,MIX-Cold Area 18,20,MIX,0.8044844444442586,0.6313272181032492,0.040838233664990786,-8.418386666666775,0.3723744543933734,0.4869921235655892,-72.38959444444457,0.5828345917144051,0.29507562174351354
MIX-Cold,Area 19,MIX-Cold Area 19,29,MIX,-39.403408888888954,0.6700955817526764,0.04186925804459007,-67.18513066666667,0.3762076969995736,0.581659479920219,-169.32038833333334,0.5771505197845498,0.3511422865446686
MIX-Cold,Area 2,MIX-Cold Area 2,28,MIX,-12.18589777777775,0.6000850434708528,0.04356179710788904,-54.891183999999825,0.345696791137784,0.4735681740282395,-382.5957177777775,0.5037170662182656,0.4776801908912677
MIX-Cold,Area 20,MIX-Cold Area 20,28,MIX,59.75815999999993,0.6520824238292454,0.0217952770967218,-6.7277280000000115,0.33473155995264836,0.5228143783551827,-577.314568888889,0.597083235399243,0.1820434890602168
MIX-Cold,Area 21,MIX-Cold Area 21,26,MIX,-17.221675555555382,0.6460717005008176,0.04184682271200693,-31.205442666666446,0.3616335067359771,0.6053031320236575,-488.89254277777763,0.5938138373472024,0.3506092915827874
MIX-Cold,Area 22,MIX-Cold Area 22,24,MIX,11.275582222222308,0.6431014737142865,0.0459757360094724,27.526378666666712,0.37314224823145725,0.5193634345157685,117.6351394444445,0.5703788264560488,0.3073126330151035
MIX-Cold,Area 23,MIX-Cold Area 23,21,MIX,12.450355555555547,0.6280254296302754,0.052590722976980746,31.549944000000057,0.3379491016648041,0.5286838241386891,-224.60905999999997,0.539396330707431,0.21165322373021747
MIX-Cold,Area 24,MIX-Cold Area 24,20,MIX,-13.843128888889057,0.6858459630879274,0.051611805311301384,-18.9931253333334,0.4177065630006524,0.5903608394928934,-18.773528333333445,0.6327687420982129,0.499686094993934
MIX-Cold,Area 3,MIX-Cold Area 3,26,MIX,68.2242133333334,0.6363799527471395,0.06385050899216058,-15.223440000000119,0.38110887481449396,0.4108102190566913,-356.53194277777783,0.5823771090709469,0.38717265542883705
MIX-Cold,Area 4,MIX-Cold Area 4,24,MIX,0.6130799999998191,0.6002476765765892,0.03329371942852179,-17.361386666666657,0.340735744881939,0.31998428479748675,-405.47863722222223,0.5643835738311731,0.11162927251981748
MIX-Cold,Area 5,MIX-Cold Area 5,21,MIX,-0.48431555555556166,0.6410779496320044,0.05809420028330964,-60.9625493333333,0.3761733130467551,0.5138000339429334,-386.774453888889,0.5644154312561356,0.32558884661307813
MIX-Cold,Area 6,MIX-Cold Area 6,20,MIX,-19.361484444444958,0.6534505555894905,0.12878548670015535,-22.933146666667067,0.405385952911651,0.590949313224394,15.160188333332957,0.5857757171330359,0.6840238969580359
MIX-Cold,Area 7,MIX-Cold Area 7,29,MIX,-2.8331066666667337,0.6330067750858562,0.05907834163069681,-8.678536000000118,0.3636881253343709,0.5195242949979273,56.993608333333235,0.5365962766985817,0.45740348939027003
MIX-Cold,Area 8,MIX-Cold Area 8,28,MIX,-18.706591111111145,0.6223546963277417,0.07578969677135133,-48.52126133333329,0.34556668249057476,0.46298805413830096,-588.8981716666668,0.5754668150507143,0.35005898683118974
MIX-Cold,Area 9,MIX-Cold Area 9,26,MIX,12.887257777777428,0.6114239762524452,0.05702968990141346,-4.535600000000268,0.337720615573631,0.36720551748611574,-498.19960888888926,0.5597325196294511,0.22275344346155992
MIX-Warm,Area 1,MIX-Warm Area 1,38,MIX,4.498502222222224,0.6818947849889092,0.0665013143156592,-15.192658666666734,0.42173508382279423,0.5062312347057367,-144.1462805555556,0.5833315102354208,0.4590447488580674
MIX-Warm,Area 10,MIX-Warm Area 10,33,MIX,-37.9596311111109,0.6148711233064902,0.04796292132129603,-47.34342133333305,0.36079812321806143,0.4371459652611966,-537.5194988888886,0.5510688020282676,0.1597109851118611
MIX-Warm,Area 11,MIX-Warm Area 11,32,MIX,3.0426399999996647,0.6132441349055588,0.08958101308815557,-1.3565440000000915,0.3592528398087428,0.4481442074290789,-63.87910888888906,0.5570725783256586,0.21077404411406006
MIX-Warm,Area 12,MIX-Warm Area 12,31,MIX,6.772253333333194,0.6525434532921786,0.0626501356408152,-5.627949333333478,0.4119872183710246,0.4157446475222872,-4.710221666666702,0.5925669203502493,0.24415401156836597
MIX-Warm,Area 13,MIX-Warm Area 13,38,MIX,22.1925777777778,0.6752986761504025,0.038224755171236524,10.181021333333339,0.3937172336093984,0.5301154672849476,-318.1721466666667,0.576880334454184,0.46456534319655074
MIX-Warm,Area 14,MIX-Warm Area 14,37,MIX,-23.31698666666675,0.657838734992812,0.05158587604438004,-26.804848000000057,0.36231091971236684,0.5025940734897671,-579.7871861111112,0.5749699613501456,0.343965327495953
