"","Date","Sample.ID","Chamber.ID","SDR","Group","Temperature","Type","Salinity","Plate","Run","Volume","Org.Number","unique","Light","Photo.Intercept","P.umol.L.min","P.umol.min","P.Blank.umol.min","P.umol.min.corr","P.umol.org.min","P.nmol.org.min","PAR"
"169",20230625,5,"A5",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - A5",1,190.552965517241,-1.14510344827586,-9.16082758620688e-05,-5.33352037465246e-06,-8.62747554874163e-05,-1.72549510974833e-05,-0.0172549510974833,0.1
"170",20230625,5,"A5",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - A5",3,158.34808627451,0.231670588235298,1.85336470588238e-05,-5.33352037465246e-06,2.38671674334763e-05,4.77343348669526e-06,0.00477343348669526,100
"171",20230625,5,"A5",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - A5",4,58.0461023743443,2.20411224175147,0.000176328979340118,-5.33352037465246e-06,0.00018166249971477,3.6332499942954e-05,0.036332499942954,500
"172",20230625,5,"A5",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - A5",5,354.17731372549,-2.75550700280112,-0.00022044056022409,-5.33352037465246e-06,-0.000215107039849437,-4.30214079698874e-05,-0.0430214079698874,0.2
"173",20230625,11,"B5",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - B5",1,193.059587690026,-0.971559510567292,-7.77247608453834e-05,-5.33352037465246e-06,-7.23912404707309e-05,-1.44782480941462e-05,-0.0144782480941462,0.1
"174",20230625,11,"B5",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - B5",2,184.526425942685,-0.516267873303166,-4.13014298642533e-05,-5.33352037465246e-06,-3.59679094896008e-05,-7.19358189792017e-06,-0.00719358189792017,50
"175",20230625,11,"B5",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - B5",3,175.170252081406,-0.128945420906572,-1.03156336725258e-05,-5.33352037465246e-06,-4.9821132978733e-06,-9.9642265957466e-07,-0.00099642265957466,100
"176",20230625,11,"B5",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - B5",4,99.3934377387318,1.43861268143621,0.000115089014514897,-5.33352037465246e-06,0.000120422534889549,2.40845069779099e-05,0.0240845069779099,500
"177",20230625,11,"B5",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - B5",5,271.375369843528,-1.66580369843528,-0.000133264295874822,-5.33352037465246e-06,-0.00012793077550017,-2.5586155100034e-05,-0.025586155100034,0.2
"178",20230625,23,"D5",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - D5",1,199.951058201058,-0.388571428571438,-3.1085714285715e-05,-5.33352037465246e-06,-2.57521939110626e-05,-5.15043878221252e-06,-0.00515043878221252,0.1
"179",20230625,23,"D5",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - D5",2,189.247044025157,0.177106918238987,1.4168553459119e-05,-5.33352037465246e-06,1.95020738337714e-05,3.90041476675428e-06,0.00390041476675428,50
"180",20230625,23,"D5",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - D5",3,190.664148156254,0.0805427289637735,6.44341831710188e-06,-5.33352037465246e-06,1.17769386917543e-05,2.35538773835087e-06,0.00235538773835087,100
"181",20230625,23,"D5",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - D5",4,129.775204633204,1.21223680823681,9.69789446589448e-05,-5.33352037465246e-06,0.000102312465033597,2.04624930067195e-05,0.0204624930067195,500
"182",20230625,23,"D5",710,"F1-WT",27,"Sample",33,2,1,8e-05,5,"2 - D5",5,236.235308362368,-0.745386759581871,-5.96309407665497e-05,-5.33352037465246e-06,-5.42974203918972e-05,-1.08594840783794e-05,-0.0108594840783794,0.2
"183",20230625,6,"A6",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - A6",2,164.987227866473,1.07518142235124,8.60145137880992e-05,-5.33352037465246e-06,9.13480341627517e-05,1.82696068325503e-05,0.0182696068325503,50
"184",20230625,6,"A6",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - A6",3,190.66340775207,-0.0735422180483209,-5.88337744386567e-06,-5.33352037465246e-06,-5.49857069213212e-07,-1.09971413842642e-07,-0.000109971413842642,100
"185",20230625,6,"A6",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - A6",4,187.587897008942,0.258498920752392,2.06799136601914e-05,-5.33352037465246e-06,2.60134340348438e-05,5.20268680696876e-06,0.00520268680696876,500
"186",20230625,6,"A6",710,"F2-NB",27,"Sample",33,2,1,8e-05,5,"2 - A6",5,303.493842746401,-1.80313102665911,-0.000144250482132729,-5.33352037465246e-06,-0.000138916961758076,-2.77833923516153e-05,-0.0277833923516153,0.2
"187",20230625,12,"B6",710,"F2-WT",27,"Sample",33,2,1,8e-05,5,"2 - B6",1,187.911882352941,-1.85788235294118,-0.000148630588235294,-5.33352037465246e-06,-0.000143297067860642,-2.86594135721284e-05,-0.0286594135721284,0.1
"188",20230625,12,"B6",710,"F2-WT",27,"Sample",33,2,1,8e-05,5,"2 - B6",2,159.773019566367,0.100624008461129,8.04992067689032e-06,-5.33352037465246e-06,1.33834410515428e-05,2.67668821030856e-06,0.00267668821030856,50
"189",20230625,12,"B6",710,"F2-WT",27,"Sample",33,2,1,8e-05,5,"2 - B6",3,187.716310204082,-0.752587755102038,-6.0207020408163e-05,-5.33352037465246e-06,-5.48735000335106e-05,-1.09747000067021e-05,-0.0109747000067021,100
"190",20230625,12,"B6",710,"F2-WT",27,"Sample",33,2,1,8e-05,5,"2 - B6",4,184.225464492834,-0.736106795054175,-5.8888543604334e-05,-5.33352037465246e-06,-5.35550232296815e-05,-1.07110046459363e-05,-0.0107110046459363,500
"191",20230625,12,"B6",710,"F2-WT",27,"Sample",33,2,1,8e-05,5,"2 - B6",5,301.480895701198,-2.68211134601832,-0.000214568907681466,-5.33352037465246e-06,-0.000209235387306813,-4.18470774613626e-05,-0.0418470774613626,0.2
"192",20230625,18,"C6",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - C6",1,185.920519095291,-1.25559065628476,-0.000100447252502781,-5.33352037465246e-06,-9.51137321281284e-05,-1.90227464256257e-05,-0.0190227464256257,0.1
"193",20230625,18,"C6",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - C6",2,145.47539657444,0.439620553359685,3.51696442687748e-05,-5.33352037465246e-06,4.05031646434273e-05,8.10063292868545e-06,0.00810063292868545,50
"194",20230625,18,"C6",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - C6",3,145.419026170468,0.442821608643459,3.54257286914767e-05,-5.33352037465246e-06,4.07592490661292e-05,8.15184981322584e-06,0.00815184981322584,100
"195",20230625,18,"C6",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - C6",4,171.848215340847,0.117693401903925,9.415472152314e-06,-5.33352037465246e-06,1.47489925269665e-05,2.94979850539329e-06,0.00294979850539329,500
"196",20230625,18,"C6",710,"F1-NB",27,"Sample",33,2,1,8e-05,5,"2 - C6",5,359.17676319648,-3.02687683284456,-0.000242150146627565,-5.33352037465246e-06,-0.000236816626252912,-4.73633252505825e-05,-0.0473633252505825,0.2
"197",20230625,1,"A1",641,"F2-WT",33,"Sample",33,3,2,8e-05,5,"3 - A1",1,183.210161290323,-0.55275806451613,-4.42206451612904e-05,-2.43897498637263e-05,-1.98308952975641e-05,-3.96617905951282e-06,-0.00396617905951282,0.1
"198",20230625,1,"A1",641,"F2-WT",33,"Sample",33,3,2,8e-05,5,"3 - A1",2,164.402251012146,0.317886639676111,2.54309311740889e-05,-2.43897498637263e-05,4.98206810378152e-05,9.96413620756304e-06,0.00996413620756304,50
"199",20230625,1,"A1",641,"F2-WT",33,"Sample",33,3,2,8e-05,5,"3 - A1",3,153.246170259328,0.616176824597882,4.92941459678306e-05,-2.43897498637263e-05,7.36838958315569e-05,1.47367791663114e-05,0.0147367791663114,100
"200",20230625,1,"A1",641,"F2-WT",33,"Sample",33,3,2,8e-05,5,"3 - A1",4,125.525516945517,1.23474903474904,9.87799227799232e-05,-2.43897498637263e-05,0.00012316967264365,2.46339345287299e-05,0.0246339345287299,500
"201",20230625,1,"A1",641,"F2-WT",33,"Sample",33,3,2,8e-05,5,"3 - A1",5,361.740975975976,-2.39549549549549,-0.000191639639639639,-2.43897498637263e-05,-0.000167249889775913,-3.34499779551826e-05,-0.0334499779551826,0.2
"202",20230625,7,"B1",641,"F1-NB",33,"Sample",33,3,2,8e-05,5,"3 - B1",1,184.131524966262,-0.65291497975709,-5.22331983805672e-05,-2.43897498637263e-05,-2.78434485168409e-05,-5.56868970336818e-06,-0.00556868970336818,0.1
"203",20230625,7,"B1",641,"F1-NB",33,"Sample",33,3,2,8e-05,5,"3 - B1",2,183.767504504505,-0.185873873873875,-1.486990990991e-05,-2.43897498637263e-05,9.51983995381631e-06,1.90396799076326e-06,0.00190396799076326,50
"204",20230625,7,"B1",641,"F1-NB",33,"Sample",33,3,2,8e-05,5,"3 - B1",3,182.53925925926,0.0296947496947437,2.3755799755795e-06,-2.43897498637263e-05,2.67653298393058e-05,5.35306596786116e-06,0.00535306596786116,100
