ID,File,Class,Height,Area
1718,20240423_Mcap_neg_6,NB_0C,167632,2384234
1718,20240423_Mcap_neg_60,B_3C,64983,595928
1718,20240423_Mcap_neg_61,B_0C,61590,364717
1718,20240423_Mcap_neg_62,WT_0C,270915,2444566
1718,20240423_Mcap_neg_63,WT_6C,113403,675560
1718,20240423_Mcap_neg_7,WT_3C,217483,835619
1718,20240423_Mcap_neg_8,B_3C,127209,1067007
1718,20240423_Mcap_neg_9,WT_0C,164692,2379390
1718,20240423_Mcap_neg_PBQC1_10,PBQC,140521,1106639
1718,20240423_Mcap_neg_PBQC1_20,PBQC,157420,1937222
1718,20240423_Mcap_neg_PBQC1_5,PBQC,115598,873011
1718,20240423_Mcap_neg_PBQC2,PBQC,143088,1125192
1718,20240423_Mcap_neg_PBQC3,PBQC,140629,1002822
1718,20240423_Mcap_neg_PBQC4,PBQC,146935,1905297
1718,20240423_Mcap_neg_PBQC5,PBQC,143361,1101379
1718,20240423_Mcap_neg_PBQC6,PBQC,147215,2038693
1718,20240423_Mcap_neg_PBQC7,PBQC,147947,1995227
1762,20240423_Mcap_neg_1,WT_3C,1926365,36407767
1762,20240423_Mcap_neg_10,B_3C,3494039,30180806
1762,20240423_Mcap_neg_11,WT_3C,1787810,24560171
1762,20240423_Mcap_neg_12,B_0C,4072862,61624238
1762,20240423_Mcap_neg_13,WT_6C,2341284,32296375
1762,20240423_Mcap_neg_14,B_3C,3168544,49125325
1762,20240423_Mcap_neg_15,Blank,426227,3449693
1762,20240423_Mcap_neg_16,Blank,219100,2110513
1762,20240423_Mcap_neg_17,B_6C,6135990,85768947
1762,20240423_Mcap_neg_18,B_6C,1781944,29277749
1762,20240423_Mcap_neg_19,Blank,264355,2278152
1762,20240423_Mcap_neg_2,Blank,204354,3097534
1762,20240423_Mcap_neg_20,Blank,396461,1279766
1762,20240423_Mcap_neg_21,WT_6C,1858709,30151464
1762,20240423_Mcap_neg_22,NB_3C,5368967,60399481
1762,20240423_Mcap_neg_23,WT_6C,1038731,16704479
1762,20240423_Mcap_neg_24,B_0C,3773266,57114074
1762,20240423_Mcap_neg_25,Blank,858561,16546620
1762,20240423_Mcap_neg_26,NB_6C,2273559,35670111
1762,20240423_Mcap_neg_27,B_3C,1463083,22778541
1762,20240423_Mcap_neg_28,NB_3C,3297740,49222734
1762,20240423_Mcap_neg_29,Blank,215515,2230414
1762,20240423_Mcap_neg_3,NB_0C,1797118,19859118
1762,20240423_Mcap_neg_30,NB_0C,3304178,49730085
1762,20240423_Mcap_neg_31,NB_3C,2689341,41864063
1762,20240423_Mcap_neg_32,NB_0C,1284418,20128625
1762,20240423_Mcap_neg_33,NB_3C,8080556,118185907
1762,20240423_Mcap_neg_34,B_0C,1747433,24461336
1762,20240423_Mcap_neg_35,WT_0C,2657860,35213624
1762,20240423_Mcap_neg_36,Blank,3856119,29499506
1762,20240423_Mcap_neg_37,B_6C,2116100,31953484
1762,20240423_Mcap_neg_38,NB_6C,2910819,46147801
1762,20240423_Mcap_neg_39,NB_0C,5084432,72509395
1762,20240423_Mcap_neg_4,WT_3C,2630780,42160013
1762,20240423_Mcap_neg_40,NB_3C,2592850,39951598
1762,20240423_Mcap_neg_41,B_6C,2261786,26874167
1762,20240423_Mcap_neg_42,B_3C,4919178,48219869
1762,20240423_Mcap_neg_43,Blank,355802,2735644
1762,20240423_Mcap_neg_44,B_0C,3738662,51151022
1762,20240423_Mcap_neg_45,NB_6C,3962378,56923359
1762,20240423_Mcap_neg_46,WT_3C,2928863,44281776
1762,20240423_Mcap_neg_47,WT_0C,2538501,28153556
1762,20240423_Mcap_neg_48,NB_3C,3164155,49623113
1762,20240423_Mcap_neg_49,WT_6C,2671209,30653256
1762,20240423_Mcap_neg_5,B_6C,3666218,44486369
1762,20240423_Mcap_neg_50,NB_6C,3893354,42689382
1762,20240423_Mcap_neg_51,B_6C,3736242,57704004
1762,20240423_Mcap_neg_52,WT_6C,2056958,29315182
1762,20240423_Mcap_neg_53,NB_6C,3150485,49327448
1762,20240423_Mcap_neg_54,WT_0C,8228737,126587882
1762,20240423_Mcap_neg_55,B_0C,4717833,69361048
1762,20240423_Mcap_neg_56,WT_3C,2840900,48975255
1762,20240423_Mcap_neg_57,NB_0C,5739542,64254787
1762,20240423_Mcap_neg_58,NB_6C,472148,8685668
1762,20240423_Mcap_neg_59,WT_0C,8276468,127150645
1762,20240423_Mcap_neg_6,NB_0C,3204779,47039372
1762,20240423_Mcap_neg_60,B_3C,1099973,13695231
