Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
24.06.23 12:25:27,12.55,212.79,192,192.43,212.65,185.59,202.27,189.54,207.56,199.29,207.18,204.6,201.64,208.56,205.43,200.88,174.41,213.78,198.29,200.52,198.7,222.68,208.05,176.94,200.76,,33,965,33,31.2,
24.06.23 12:25:42,12.8,211.12,192.79,197.67,198.48,178.5,191.81,181.62,221.82,193.23,205.28,199.67,206.28,208.29,198.04,193.52,178.42,214.34,208.47,208.85,204.53,228.81,200.27,182.97,196.64,,33,965,33,31.24,
24.06.23 12:25:57,13.05,205.87,182.29,191.91,198.22,184.8,201.45,176.66,217.87,192.96,200.71,204.32,200.28,197.44,207.36,181.73,170.43,200.43,194.84,198.04,187.23,227.13,195.71,180.34,207.14,,33,965,33,31.25,
24.06.23 12:26:12,13.3,204.5,195.71,191.91,201.13,181.11,192.34,173.55,208.11,202.61,192.2,207.63,196.5,204.2,204.05,192.71,163.85,206.23,197.71,206.34,199.53,216.63,204.3,177.2,212.18,,33,965,33,31.28,
24.06.23 12:26:27,13.55,214.18,191.47,203.49,205.39,183.22,195.54,176.92,208.94,200.39,192.46,199.4,196.5,195.3,197.22,183.33,162.81,203.18,211.41,207.45,204.25,214.44,204.58,186.93,219.82,,33,965,33,31.3,
24.06.23 12:26:42,13.8,211.12,184.9,185.19,196.38,178.76,195.01,176.14,212.83,195.15,202.32,201.31,204.91,193.96,179.32,195.97,163.07,204.84,212,187.43,216.93,224.9,202.86,185.08,205.74,,33,965,33,31.31,
24.06.23 12:26:57,14.05,201.22,197.58,188.54,202.99,185.86,205.25,188.74,212.27,193.78,218.14,205.98,214.01,208.29,199.12,196.51,160.46,216.6,208.76,198.59,196.78,207.67,198.84,181.91,228.43,,33,965,33,31.34,
24.06.23 12:27:12,14.3,204.77,194.91,190.61,197.17,183.48,188.64,171.49,216.18,200.95,214.55,204.6,202.18,203.38,206.8,191.9,174.94,206.78,212.59,199.69,190.21,211.99,199.42,185.08,211.61,,33,965,33,31.35,
24.06.23 12:27:27,14.55,197.14,201.87,197.93,195.59,190.38,197.15,179.26,206.18,186.7,203.93,200.49,200.28,217.12,205.98,194.61,163.07,205.4,210.23,199.69,209.01,225.74,207.19,179.29,228.72,,33,965,33,31.38,
24.06.23 12:27:42,14.8,206.97,192.26,192.95,188.81,194.93,187.85,174.84,215.34,196.8,209.08,198.58,201.64,202.03,199.67,189.75,165.16,203.73,213.48,190.94,200.64,222.13,183.06,170.71,218.4,,33,965,33,31.42,
24.06.23 12:27:57,15.05,204.5,191.2,200.31,196.64,173.55,191.81,175.62,222.95,194.33,205.55,211.24,206.55,202.57,202.68,194.88,164.37,202.9,201.76,191.49,212.39,222.68,188.93,182.7,223.25,,33,965,33,31.44,
24.06.23 12:28:12,15.3,208.63,195.45,194.52,201.66,190.38,192.88,186.62,211.16,199.84,200.44,203.77,202.18,193.96,199.12,195.42,159.68,207.34,207.3,198.04,203.42,208.48,195.99,180.34,223.25,,33,965,33,31.46,
24.06.23 12:28:27,15.55,198.77,195.18,188.02,199.28,172.26,199.03,190.07,228.94,186.43,204.74,210.41,208.47,210.76,201.31,202.81,168.32,200.15,206.42,201.62,187.23,217.45,207.47,177.98,203.8,,33,965,33,31.49,
24.06.23 12:28:42,15.8,203.68,195.18,188.8,195.07,178.76,195.01,189.27,215.06,188.06,216.75,216.84,206.55,202.57,209.85,199.24,165.95,205.67,203.79,204.39,200.09,206.32,206.61,170.2,216.41,,33,965,33,31.52,
24.06.23 12:28:57,16.05,207.8,198.92,197.41,202.46,194.12,187.85,172,217.87,207.08,202.86,211.8,199.74,207.74,196.95,198.42,167.26,208.18,204.38,203.28,204.81,219.92,203.14,180.34,213.02,,33,965,33,31.56,
24.06.23 12:29:12,16.3,199.31,193.32,185.44,204.85,186.65,184.95,183.19,221.25,203.45,207.45,207.08,204.09,206.37,203.77,202.26,166.74,206.51,209.35,193.12,209.85,208.21,204.87,169.17,201.31,,33,965,33,31.56,
24.06.23 12:29:27,16.55,212.51,201.6,196.62,205.39,177.97,203.35,183.72,216.46,215.56,215.38,218.52,194.35,217.95,200.22,206.95,170.16,205.67,204.67,206.9,203.14,224.9,203.14,177.98,221.25,,33,965,33,31.6,
24.06.23 12:29:42,16.8,208.9,201.87,192.17,208.87,191.98,193.67,185.04,208.39,198.73,211.26,202.95,209.3,216.84,209.85,202.81,176.01,209.01,210.82,206.06,203.69,202.58,200.56,177.46,227.28,,33,965,33,31.61,
24.06.23 12:29:57,17.05,204.22,190.67,196.09,198.75,190.11,195.27,188.74,209.49,198.18,216.75,209.85,194.35,203.38,210.41,197.6,172.02,195.23,201.47,203.28,204.25,209.29,206.9,173.3,223.54,,33,965,33,31.63,
24.06.23 12:30:12,17.3,200.4,203.76,192.69,205.92,184.54,181.82,192.2,230.95,203.45,223.7,210.68,201.37,206.65,200.49,197.33,172.28,201.53,208.47,198.86,210.7,210.64,205.45,187.46,229.59,,33,965,33,31.66,
24.06.23 12:30:27,17.55,206.42,190.94,195.04,211.03,179.8,190.22,176.14,219.56,209.61,216.75,214.31,204.36,205.56,214.03,190.01,166.21,206.51,205.84,196.12,207.32,205.79,196.85,172,206.3,,33,965,33,31.67,
24.06.23 12:30:42,17.8,207.52,197.85,195.57,207.8,180.85,189.96,173.55,208.94,218.69,220.63,214.03,192.74,211.58,214.59,197.33,157.09,206.78,206.13,202.73,198.15,219.37,189.77,172.52,207.97,,33,965,33,31.7,
24.06.23 12:30:57,18.05,203.68,192.79,204.29,196.38,185.06,185.74,174.33,216.46,218.12,207.72,221.92,204.36,220.19,200.22,195.15,184.08,193.32,204.38,204.11,210.42,206.06,195.43,173.56,219.82,,33,965,33,31.71,
24.06.23 12:31:12,18.3,197.68,185.94,201.36,197.17,185.06,199.03,182.4,211.44,202.06,213.18,208.19,204.91,220.19,193.43,194.07,148.88,201.8,199.44,187.97,196.23,198.06,189.49,170.97,209.09,,33,965,33,31.74,
24.06.23 12:31:27,18.55,204.22,198.65,190.87,211.3,184.8,196.88,193.81,219.27,201.22,210.44,202.13,203.54,217.12,204.32,200.06,173.61,195.77,204.38,196.39,205.37,220.47,191.75,164.05,228.15,,33,965,33,31.77,
24.06.23 12:31:42,18.8,208.35,196.24,198.46,202.19,181.38,200.91,190.87,221.25,206.8,212.9,202.68,210.4,211.31,204.05,197.6,170.43,195.5,205.25,193.39,211.54,209.29,198.56,169.68,225.55,,33,965,33,31.8,
24.06.23 12:31:57,19.05,198.22,192,194,209.14,183.74,185.74,193.27,210.05,205.4,220.63,214.87,204.64,218.23,204.87,204.46,160.98,206.23,204.96,196.94,206.48,203.11,191.46,173.56,216.13,,33,965,33,31.81,
24.06.23 12:32:12,19.3,208.63,192.79,188.8,200.07,179.02,190.22,184.51,208.11,211.02,214.83,203.5,197.58,216.28,201.86,197.06,168.58,199.88,202.63,199.41,214.37,210.1,204.01,180.07,206.02,,33,965,33,31.83,
24.06.23 12:32:27,19.55,207.8,186.47,193.48,196.38,194.12,184.95,180.31,228.08,208.77,211.26,210.68,207.92,216.28,190.21,197.06,171.49,196.86,196.85,193.94,204.25,211.18,190.62,175.37,230.17,,33,965,33,31.86,
24.06.23 12:32:42,19.8,202.58,195.45,195.04,205.39,192.25,188.37,184.77,215.06,206.8,219.24,210.13,206.83,211.58,201.86,208.34,164.64,201.8,210.23,190.4,204.53,226.29,197.42,180.6,215.28,,33,965,33,31.88,
