"","Metabolite","term","df","sumsq","statistic","p.value","adj_pvalues"
"138","Phosphoric acid-3TMS","temperature:parent",4,0.000219667906472206,1.42977774675489,0.240467290139854,0.734410199543197
"139","Proline-2TMS","temperature",2,1.09877298421013e-07,0.746028327191412,0.480284356540841,0.850789431586633
"140","Proline-2TMS","parent",2,2.64697454617228e-07,1.79720289921281,0.177989988218453,0.708242763422745
"141","Proline-2TMS","temperature:parent",4,2.20056657403271e-07,0.747053769837232,0.565383600661232,0.870222233997532
"142","Propionic acid","temperature",2,0.0111025133026701,0.566296463661343,0.571799460715454,0.870222233997532
"143","Propionic acid","parent",2,0.00045586547756523,0.0232519431243009,0.977028575791522,0.978652229714717
"144","Propionic acid","temperature:parent",4,0.0592243123479861,1.51040209235208,0.216054898409017,0.715427604316162
"145","Pyruvic acid-meto-TMS","temperature",2,4.79640015356144e-09,0.807735241505008,0.452516101722495,0.849424541439587
"146","Pyruvic acid-meto-TMS","parent",2,9.23004270723422e-10,0.155438048047212,0.856518931452041,0.973097708103639
"147","Pyruvic acid-meto-TMS","temperature:parent",4,1.62123663768804e-08,1.36511751016787,0.261874652165713,0.734410199543197
"148","Sarcosine-2TMS","temperature",2,2.89348556334764e-05,3.77291638314875,0.0309269176440388,0.690240779089083
"149","Sarcosine-2TMS","parent",2,5.59219055452641e-07,0.0729185160905102,0.92979128640074,0.973097708103639
"150","Sarcosine-2TMS","temperature:parent",4,2.66860250019047e-05,1.73984177087644,0.158789020484672,0.708242763422745
"151","Serine-3TMS","temperature",2,7.24670151683059e-07,0.835964427286467,0.440378024301793,0.845586790907218
"152","Serine-3TMS","parent",2,1.87154571006055e-08,0.021589762376959,0.978652229714717,0.978652229714717
"153","Serine-3TMS","temperature:parent",4,3.07036573500949e-06,1.77095505263047,0.152250801641369,0.708242763422745
"154","Sorbitol-6TMS","temperature",2,1.82312257107862e-08,0.927768943353149,0.403205375646848,0.823526011612391
"155","Sorbitol-6TMS","parent",2,3.46270578354609e-09,0.176213653262091,0.83904121253397,0.973097708103639
"156","Sorbitol-6TMS","temperature:parent",4,1.02346631017534e-08,0.260415912844287,0.901677071880286,0.973097708103639
"157","Sorbose-meto-5TMS(2)","temperature",2,1.41524383307798e-08,3.46909039644135,0.040111451024202,0.690240779089083
"158","Sorbose-meto-5TMS(2)","parent",2,4.87864957040124e-09,1.19586999615981,0.312298525047817,0.772760079412398
"159","Sorbose-meto-5TMS(2)","temperature:parent",4,1.11821667129085e-08,1.37050401663964,0.260026367634256,0.734410199543197
"160","Stearic acid-TMS","temperature",2,5.93732586467461e-06,0.487118388880082,0.61774340648822,0.87169058449903
"161","Stearic acid-TMS","parent",2,7.11294038822834e-06,0.583569799112541,0.562260281944549,0.870222233997532
