Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
26.06.23 12:50:03,12.05,169.05,170.71,165.04,170.94,163.03,179.82,169.39,173.61,173.61,162.78,171.83,165.4,153.03,145.99,161.11,173.53,170.49,153.45,190.73,171.75,155.82,190.76,162.72,162.22,,36,965,33,32.65,
26.06.23 12:50:18,12.3,169.05,169.53,165.96,170.23,163.03,180.3,169.85,171.99,175.55,162.55,171.14,165.4,152.11,146.44,160.88,170.74,170.97,153.92,191.96,170.27,155.36,190.02,161.8,161.99,,36,965,33,32.66,
26.06.23 12:50:33,12.55,167.85,170.23,166.66,168.35,163.74,180.3,170.32,173.14,173.12,161.85,172.06,164.71,152.34,148.03,161.8,171.44,170.02,152.53,190.98,169.78,153.3,190.26,163.18,160.63,,36,965,33,32.68,
26.06.23 12:50:48,12.8,168.09,170,166.19,168.12,162.09,180.3,171.48,173.37,175.55,161.85,173.45,166.08,152.8,147.12,161.11,171.67,170.26,153.22,191.22,168.79,152.16,190.26,164.1,160.4,,36,965,33,32.71,
26.06.23 12:51:03,13.05,168.09,170.47,165.5,168.35,160.45,180.3,169.85,172.45,173.36,161.61,175.32,167.91,153.03,147.8,160.65,171.67,171.2,152.06,192.7,168.55,151.7,191.01,163.87,159.5,,36,965,33,32.74,
26.06.23 12:51:18,13.3,167.61,171.18,165.96,169.06,160.45,180.78,170.09,173.37,172.16,161.61,174.15,167.68,152.57,146.9,160.65,172.6,173.57,154.38,192.21,169.28,151.02,191.26,163.87,161.08,,36,965,33,32.76,
26.06.23 12:51:33,13.55,167.85,170.47,165.27,167.65,161.86,180.3,169.85,172.91,173.61,159.75,172.29,165.17,152.57,146.22,162.26,171.21,171.91,152.76,192.46,169.04,151.7,190.26,163.18,160.86,,36,965,33,32.79,
26.06.23 12:51:48,13.8,167.61,171.42,165.73,170.23,160.92,180.78,169.62,171.99,177.98,160.21,172.53,164.71,152.11,147.58,161.57,171.21,170.02,152.3,192.21,168.55,150.79,190.51,158.82,163.35,,36,965,33,32.79,
26.06.23 12:52:03,14.05,166.65,171.42,165.5,168.59,156.95,180.54,171.02,171.76,173.36,160.44,172.53,165.62,154.41,147.58,162.03,173.3,169.78,152.3,192.21,169.04,152.39,192,159.05,159.27,,36,965,33,32.83,
26.06.23 12:52:18,14.3,167.37,171.18,165.5,168.59,157.88,180.54,169.85,171.53,173.61,159.75,172.76,165.4,155.34,145.99,160.88,171.44,169.08,151.37,192.46,168.79,152.16,191.5,158.59,158.6,,36,965,33,32.86,
26.06.23 12:52:33,14.55,167.61,170.94,165.27,168.12,157.42,180.78,169.39,171.53,172.88,160.44,172.76,165.4,154.64,143.29,161.34,172.6,169.55,152.3,191.96,170.02,151.02,192,160.42,159.73,,36,965,33,32.88,
26.06.23 12:52:48,14.8,169.53,172.12,165.5,169.06,157.18,181.01,169.85,172.91,173.85,160.21,172.99,165.17,154.18,143.74,163.19,171.44,169.31,151.83,193.69,169.04,150.79,191.75,160.42,160.86,,36,965,33,32.9,
26.06.23 12:53:03,15.05,168.09,171.89,165.27,168.59,158.12,181.25,170.09,172.22,172.88,161.14,173.22,165.17,153.49,143.96,164.34,171.9,169.31,152.53,192.7,169.78,149.66,192,162.72,158.15,,36,965,33,32.93,
26.06.23 12:53:18,15.3,168.33,171.65,164.57,168.35,156.02,181.25,169.85,171.76,174.58,160.44,173.69,167,150.74,143.74,162.26,171.67,169.78,153.92,193.69,169.53,148.98,192,160.65,159.5,,36,965,33,32.93,
26.06.23 12:53:33,15.55,165.93,170.94,163.88,170.71,155.33,181.49,170.32,173.84,171.43,160.91,174.38,166.77,150.74,142.39,162.03,171.44,169.31,153.45,193.2,169.28,147.85,192,160.65,157.92,,36,965,33,32.97,
26.06.23 12:53:48,15.8,166.89,171.65,164.34,169.53,156.25,181.01,169.62,172.45,171.19,159.98,172.76,164.03,148.91,142.17,161.11,173.3,172.15,153.22,193.69,169.04,148.98,193,160.19,159.27,,36,965,33,32.99,
26.06.23 12:54:03,16.05,166.41,170.23,165.27,170,154.86,180.54,170.55,171.53,171.19,160.68,174.38,165.62,149.14,141.49,161.34,173.77,169.31,151.14,194.19,169.04,148.3,192.5,159.51,157.47,,36,965,33,33.01,
26.06.23 12:54:18,16.3,166.17,170.23,165.5,168.35,154.4,181.49,169.16,171.53,172.88,159.98,173.69,164.26,149.59,140.38,161.57,173.77,170.02,151.6,192.95,168.79,146.72,192,162.95,159.05,,36,965,33,33.04,
26.06.23 12:54:33,16.55,166.65,170.23,165.04,169.29,154.17,181.01,169.62,172.22,173.12,160.44,172.76,164.03,150.05,141.94,163.19,174,170.49,151.6,193.69,170.02,147.4,193,164.33,157.02,,36,965,33,33.07,
26.06.23 12:54:48,16.8,166.41,169.76,164.34,170.71,155.56,181.73,168.92,173.61,170.71,160.91,176.02,163.35,148,141.72,160.65,172.83,170.02,152.06,193.69,169.04,146.72,192.25,162.72,158.15,,36,965,33,33.08,
26.06.23 12:55:03,17.05,167.13,172.12,164.11,168.59,153.94,180.54,169.39,172.45,170.71,159.75,172.53,163.57,146.41,140.82,161.57,172.83,169.08,150.45,194.93,169.53,147.4,192.25,162.26,156.8,,36,965,33,33.11,
