"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"    [#0117] Cer 34:2;O3|Cer 18:2;O2/16:0(2OH)","","","","","",""
"    [#0147] Cer 37:3;O3|Cer 19:3;O2/18:0(2OH)","","","","","",""
"    [#0179] Cer 41:2;O3|Cer 19:2;O2/22:0(2OH)","","","","","",""
"    [#0181] Cer 41:2;O4|Cer 18:1;O3/23:1(2OH)","","","","","",""
"    [#0230] DG 14:0","","","","","",""
"    [#0231] DG 15:0","","","","","",""
"    [#0232] DG 15:1","","","","","",""
"    [#0233] DG 16:0","","","","","",""
"    [#0234] DG 16:1","","","","","",""
"    [#0236] DG 17:0","","","","","",""
"    [#0237] DG 17:1","","","","","",""
"    [#0238] DG 18:0","","","","","",""
"    [#0239] DG 18:1","","","","","",""
"    [#0240] DG 19:0","","","","","",""
"    [#0241] DG 19:1","","","","","",""
"    [#0243] DG 20:1","","","","","",""
"    [#0248] DG 21:1","","","","","",""
"    [#0252] DG 22:0","","","","","",""
"    [#0253] DG 22:1","","","","","",""
"    [#0257] DG 23:1","","","","","",""
"    [#0261] DG 24:1","","","","","",""
"    [#0266] DG 25:1","","","","","",""
"    [#0477] FA 14:0","","","","","",""
"    [#0478] FA 14:0;O","","","","","",""
"    [#0479] FA 14:1","","","","","",""
"    [#0480] FA 15:0","","","","","",""
"    [#0482] FA 16:0","","","","","",""
"    [#0483] FA 16:1","","","","","",""
"    [#0485] FA 17:0","","","","","",""
"    [#0486] FA 17:1","","","","","",""
"    [#0487] FA 18:0","","","","","",""
"    [#0488] FA 18:0;O2","","","","","",""
"    [#0489] FA 18:1","","","","","",""
"    [#0490] FA 18:1;O","","","","","",""
"    [#0496] FA 19:0","","","","","",""
"    [#0497] FA 19:1","","","","","",""
"    [#0499] FA 20:0","","","","","",""
"    [#0500] FA 20:1","","","","","",""
"    [#0505] FA 21:0","","","","","",""
"    [#0506] FA 22:0","","","","","",""
"    [#0507] FA 22:1","","","","","",""
"    [#0513] FA 23:0","","","","","",""
"    [#0514] FA 24:0","","","","","",""
"    [#0515] FA 25:0","","","","","",""
"    [#0516] FA 26:0","","","","","",""
"    [#0532] FAHFA 25:1;O|FAHFA 14:0/11:0;O","","","","","",""
"    [#0557] LPC 12:0","","","","","",""
"    [#0560] LPC 16:0","","","","","",""
"    [#0561] LPC 16:0/0:0","","","","","",""
"    [#0563] LPC 18:0","","","","","",""
"    [#0564] LPC 18:0/0:0","","","","","",""
"    [#0565] LPC 18:1","","","","","",""
"    [#0566] LPC 18:1/0:0","","","","","",""
"    [#0569] LPC 19:1","","","","","",""
"    [#0575] LPC 22:0","","","","","",""
"    [#0579] LPC 23:1","","","","","",""
"    [#0580] LPC 25:0","","","","","",""
"    [#0581] LPC 25:1","","","","","",""
"    [#0588] LPC O-16:0","","","","","",""
"    [#0589] LPC O-18:0","","","","","",""
"    [#0590] LPC O-19:0","","","","","",""
"    [#0592] LPE O-16:0","","","","","",""
"    [#0594] LPE O-21:0","","","","","",""
"    [#0595] LPE P-21:0","","","","","",""
"    [#0622] NAE 15:1","","","","","",""
"    [#0626] NAE 16:1","","","","","",""
"    [#0629] NAE 17:0","","","","","",""
"    [#0630] NAE 17:1","","","","","",""
"    [#0633] NAE 18:0","","","","","",""
"    [#0634] NAE 18:1","","","","","",""
"    [#0642] NAE 22:1","","","","","",""
"    [#0651] NAE 25:1","","","","","",""
"    [#0652] NAE 26:0","","","","","",""
"    [#0663] NAGly 14:0","","","","","",""
"    [#0664] NAGly 16:0","","","","","",""
"    [#0665] NAGly 16:0;O","","","","","",""
"    [#0666] NAGly 17:0","","","","","",""
"    [#0667] NAGly 17:0;O","","","","","",""
"    [#0668] NAGly 21:0;O","","","","","",""
"    [#0670] NAGlySer 17:1;O","","","","","",""
"    [#0672] NAGlySer 19:1;O","","","","","",""
"    [#0673] NAGlySer 20:0;O","","","","","",""
"    [#0674] NAGlySer 21:1;O","","","","","",""
"    [#0677] NAOrn 14:1","","","","","",""
"    [#0678] NAOrn 17:0;O","","","","","",""
"    [#0679] NATau 15:1","","","","","",""
"    [#0894] PG 16:0","","","","","",""
"    [#0906] PS 16:0","","","","","",""
"    [#0916] SE 24:1;O3/18:5","","","","","",""
"    [#0917] SE 24:1;O3/20:5","","","","","",""
"    [#0918] SE 24:1;O4/13:1","","","","","",""
"    [#0919] SE 24:1;O4/23:1","","","","","",""
"    [#0937] SE 29:1/16:0","","","","","",""
"    [#0968] ST 24:1;O5","","","","","",""
"    [#0977] TG 24:0|TG 8:0_8:0_8:0","","","","","",""
"    [#0978] TG 25:0|TG 8:0_8:0_9:0","","","","","",""
"    [#0979] TG 26:1;O|TG 9:0_9:0_8:1;O","","","","","",""
"    [#1091] TG 61:2;O2|TG 16:0_16:0_12:0;O(FA 17:1)","","","","","",""
"    [#1092] TG 61:4;O2|TG 16:0_18:3_9:0;O(FA 18:0)","","","","","",""
"    [#1097] TG 63:2;O2|TG 16:0_16:0_15:1;O(FA 16:0)","","","","","",""
"    [#1098] TG 63:6;O2|TG 16:0_20:4_9:0;O(FA 18:1)","","","","","",""
"    [#1101] TG 64:1;O2|TG 16:0_16:0_18:0;O(FA 14:0)","","","","","",""
"    [#1102] TG 64:2;O2|TG 16:0_16:0_16:1;O(FA 16:0)","","","","","",""
"    [#1103] TG 64:6;O2|TG 15:0_20:4_14:1;O(FA 15:0)","","","","","",""
"    [#1104] TG 65:5;O2|TG 16:0_18:3_15:1;O(FA 16:0)","","","","","",""
"    [#1105] TG 65:6;O2|TG 9:0_16:0_18:2;O(FA 22:3)","","","","","",""
"    [#1106] TG 65:7;O2|TG 17:2_17:2_17:1;O(FA 14:1)","","","","","",""
"    [#1107] TG 66:1;O2|TG 16:0_16:0_18:0;O(FA 16:0)","","","","","",""
"    [#1108] TG 66:2;O2|TG 16:0_16:0_18:1;O(FA 16:0)","","","","","",""
"    [#1109] TG 66:3;O2|TG 17:1_17:1_17:0;O(FA 15:0)","","","","","",""
"    [#1110] TG 66:6;O2|TG 15:1_22:3_15:0;O(FA 14:1)","","","","","",""
"    [#1111] TG 67:6;O2|TG 16:0_18:3_17:2;O(FA 16:0)","","","","","",""
"    [#1112] TG 68:3;O2|TG 16:0_18:2_18:0;O(FA 16:0)","","","","","",""
"    [#1113] TG 68:4;O2|TG 17:1_17:1_17:0;O(FA 17:1)","","","","","",""
"    [#1114] TG 68:5;O2|TG 16:0_18:2_18:2;O(FA 16:0)","","","","","",""
"    [#1197] VAE 12:0","","","","","",""
"    [#1200] VAE 15:0","","","","","",""
"    [#1201] VAE 15:1","","","","","",""
"    [#1204] VAE 17:0","","","","","",""
"    [#1205] VAE 17:1","","","","","",""
"    [#1207] VAE 18:0","","","","","",""
"    [#1211] VAE 19:0","","","","","",""
"    [#1212] VAE 19:1","","","","","",""
"    [#1214] VAE 20:0","","","","","",""
"    [#1215] VAE 20:1","","","","","",""
"    [#1224] VAE 22:0","","","","","",""
"    [#1229] VAE 24:0","","","","","",""
"LION:0012009","lipid-mediated signalling","411","172","148.99","0.00190","0.045917"
"    [#0063] Cer 26:1;O2|Cer 12:0;O2/14:1","","","","","",""
"    [#0064] Cer 26:1;O2|Cer 18:1;O2/8:0","","","","","",""
"    [#0065] Cer 26:2;O2|Cer 12:2;O2/14:0","","","","","",""
"    [#0066] Cer 27:3;O2|Cer 18:3;O2/9:0","","","","","",""
"    [#0067] Cer 27:4;O2|Cer 12:1;O2/15:3","","","","","",""
