sample,lipid,temperature,parent,type,formula,ontology,height_normalized
10,DG 30:5,Moderate (+3),Bleached,Sample,C33H54O5,DG,7.571690764338224e-4
10,DG 30:6,Moderate (+3),Bleached,Sample,C33H52O5,DG,0.0024128269106273095
10,DG 30:7,Moderate (+3),Bleached,Sample,C33H50O5,DG,0.0027702215685147993
10,DG 30:8,Moderate (+3),Bleached,Sample,C33H48O5,DG,0.07447265913451491
10,DG 31:0,Moderate (+3),Bleached,Sample,C34H66O5,DG,0.054071447740569385
10,DG 31:1,Moderate (+3),Bleached,Sample,C34H64O5,DG,0.0031664264270133344
10,DG 32:0,Moderate (+3),Bleached,Sample,C35H68O5,DG,0.002291103119248649
10,DG 32:1,Moderate (+3),Bleached,Sample,C35H66O5,DG,0.003951488296785473
10,DG 32:1|DG 16:0_16:1,Moderate (+3),Bleached,Sample,C35H66O5,DG,9.860954475759594e-4
10,DG 32:2,Moderate (+3),Bleached,Sample,C35H64O5,DG,0.0024204666496971733
10,DG 32:5,Moderate (+3),Bleached,Sample,C35H58O5,DG,2.1307452407743217e-4
10,DG 32:7,Moderate (+3),Bleached,Sample,C35H54O5,DG,4.8214173128013633e-4
10,DG 32:8,Moderate (+3),Bleached,Sample,C35H52O5,DG,1.304919614915001e-4
10,DG 32:8|DG 16:4_16:4,Moderate (+3),Bleached,Sample,C35H52O5,DG,0.0013338902881946581
10,DG 33:0,Moderate (+3),Bleached,Sample,C36H70O5,DG,0.002825553825957404
10,DG 33:1,Moderate (+3),Bleached,Sample,C36H68O5,DG,0.00219365364073957
10,DG 33:4,Moderate (+3),Bleached,Sample,C36H62O5,DG,5.73560952568222e-4
10,DG 33:5,Moderate (+3),Bleached,Sample,C36H60O5,DG,0.0016751265310462296
10,DG 34:0,Moderate (+3),Bleached,Sample,C37H72O5,DG,0.01942781568764515
10,DG 34:1,Moderate (+3),Bleached,Sample,C37H70O5,DG,0.0011702319119876934
10,DG 34:2|DG 16:0_18:2,Moderate (+3),Bleached,Sample,C37H68O5,DG,0.003228248793633753
10,DG 34:3,Moderate (+3),Bleached,Sample,C37H66O5,DG,0.0023087666525687693
10,DG 34:5,Moderate (+3),Bleached,Sample,C37H62O5,DG,8.629774242005579e-4
10,DG 34:6|DG 16:1_18:5,Moderate (+3),Bleached,Sample,C37H60O5,DG,2.0035521463347602e-4
