"","Lipid","term","df","sumsq","statistic","p.value","adj_pvalues"
"151","Cer 31:7;O2|Cer 13:2;O2/18:5","temperature",2,3.01040311740162e-06,0.263907085832408,0.769308985573885,0.966542784608256
"152","Cer 31:7;O2|Cer 13:2;O2/18:5","parent",2,0.000114814223473403,10.0651925829553,0.000268441794525002,0.00754321442615256
"153","Cer 31:7;O2|Cer 13:2;O2/18:5","temperature:parent",4,2.42512066709045e-06,0.106299140527763,0.979686512454136,0.997306408235369
"154","Cer 32:1;O2|Cer 14:0;O2/18:1","temperature",2,2.50225934206628e-05,0.935548998146348,0.400393035801021,0.763686983056169
"155","Cer 32:1;O2|Cer 14:0;O2/18:1","parent",2,4.58401993200057e-05,1.71388120438574,0.192524869750417,0.574725707984994
"156","Cer 32:1;O2|Cer 14:0;O2/18:1","temperature:parent",4,2.0112248626657e-05,0.375980094005796,0.824462307251573,0.966542784608256
"157","Cer 32:2;O2|Cer 17:0;O2/15:2","temperature",2,2.89195091142004e-08,1.76671019979397,0.183357771565584,0.564027863365406
"158","Cer 32:2;O2|Cer 17:0;O2/15:2","parent",2,2.36559071014185e-07,14.4515358806464,1.67598077924584e-05,0.000836594845941205
"159","Cer 32:2;O2|Cer 17:0;O2/15:2","temperature:parent",4,1.14533589086088e-08,0.349846291059698,0.84264972757093,0.966542784608256
"160","Cer 32:3;O2|Cer 19:3;O2/13:0","temperature",2,3.47778712830278e-06,1.83769611811415,0.171754095696114,0.54363718149621
"161","Cer 32:3;O2|Cer 19:3;O2/13:0","parent",2,1.33434976551763e-06,0.705083230753963,0.499821142891138,0.841754919253191
"162","Cer 32:3;O2|Cer 19:3;O2/13:0","temperature:parent",4,3.89074807279746e-06,1.02795432356283,0.404064355693167,0.763686983056169
"163","Cer 32:3;O3|Cer 18:2;O2/14:1;O","temperature",2,5.4779345630498e-07,0.559091005509906,0.575924863702246,0.885045934283316
"164","Cer 32:3;O3|Cer 18:2;O2/14:1;O","parent",2,1.10180829469964e-06,1.1245317012692,0.334386983005914,0.723925618993058
"165","Cer 32:3;O3|Cer 18:2;O2/14:1;O","temperature:parent",4,3.05155200837116e-06,1.55724321009062,0.203424187206913,0.588626738496892
"166","Cer 32:4;O2|Cer 17:0;O2/15:4","temperature",2,3.92026702096068e-05,2.10629812108062,0.134359187677023,0.486833838863341
"167","Cer 32:4;O2|Cer 17:0;O2/15:4","parent",2,3.52704637673444e-05,1.89502682255033,0.162944947837093,0.531040944690733
"168","Cer 32:4;O2|Cer 17:0;O2/15:4","temperature:parent",4,1.87988047931705e-05,0.505015181398449,0.732221619258024,0.961820874202214
"169","Cer 32:6;O2|Cer 13:2;O2/19:4","temperature",2,5.75513438340949e-08,1.6080342450408,0.212366661698347,0.600790582804456
"170","Cer 32:6;O2|Cer 13:2;O2/19:4","parent",2,3.14207088087329e-07,8.77921737388952,0.000652268358783889,0.0149962425396769
