.
AHexCer 40:2;O2|AHexCer (O-16:2)24:0;O2
SM 38:4;O3
SM 38:5;O3
SM 39:0;O2
SM 41:4;O2
SM 42:3;O3
SM 42:4;O3
SM 43:1;O3
SM 43:9;O2
SM 44:9;O2
SM 48:11;O2
ST 24:1;O5
ST 27:1;O
ST 27:2;O
ST 28:1;O
ST 28:2;O
TG 25:0|TG 8:0_8:0_9:0
TG 27:1;O|TG 8:0_10:0_9:1;O
TG 30:0|TG 10:0_10:0_10:0
TG 30:0|TG 8:0_10:0_12:0
TG 42:0|TG 14:0_14:0_14:0
TG 44:0|TG 14:0_14:0_16:0
TG 46:0|TG 14:0_16:0_16:0
TG 46:1|TG 14:0_16:0_16:1
TG 46:2;O3|TG 12:0_16:0_18:2;O3
TG 46:2|TG 14:0_16:1_16:1
TG 46:3|TG 14:0_14:0_18:3
TG 46:4|TG 14:0_14:0_18:4
TG 48:0|TG 16:0_16:0_16:0
TG 48:1|TG 16:0_16:0_16:1
TG 48:2|TG 14:0_16:0_18:2
TG 48:3|TG 16:1_16:1_16:1
TG 48:4|TG 14:0_16:1_18:3
TG 48:5|TG 14:0_14:0_20:5
TG 48:5|TG 14:0_16:1_18:4
TG 49:3|TG 15:0_16:0_18:3
TG 49:7|TG 16:0_18:3_15:4
TG 50:0|TG 16:0_16:0_18:0
TG 50:1|TG 16:0_16:0_18:1
TG 50:2|TG 16:0_16:0_18:2
TG 50:3;O2|TG 16:0_16:0_18:3;O2
TG 50:3|TG 16:0_16:0_18:3
TG 50:3|TG 16:0_16:1_18:2
TG 50:4|TG 16:0_16:1_18:3
TG 50:5|TG 16:1_16:1_18:3
TG 50:6|TG 14:0_18:3_18:3
TG 50:7|TG 14:0_18:3_18:4
TG 50:8|TG 15:0_15:4_20:4
TG 51:2|TG 16:0_16:0_19:2
TG 51:2|TG 17:0_17:1_17:1
TG 51:4|TG 15:0_16:0_20:4
TG 51:7|TG 16:0_18:3_17:4
TG 51:8|TG 16:0_15:4_20:4
TG 52:0|TG 16:0_18:0_18:0
TG 52:2|TG 16:0_18:1_18:1
TG 52:3|TG 16:0_16:0_20:3
TG 52:3|TG 16:0_18:1_18:2
TG 52:4;O2|TG 16:0_16:0_20:4;O2
TG 52:4|TG 16:0_16:0_20:4
TG 52:5|TG 16:0_16:0_20:5
TG 52:5|TG 16:0_18:2_18:3
TG 52:6|TG 14:0_16:0_22:6
TG 52:6|TG 16:0_18:3_18:3
TG 52:7|TG 16:0_18:3_18:4
TG 52:8|TG 16:0_18:4_18:4
TG 52:8|TG 16:1_18:3_18:4
TG 52:9|TG 16:2_16:2_20:5
TG 52:9|TG 16:2_18:3_18:4
TG 53:2|TG 19:0_19:0_15:2
TG 53:4|TG 17:0_17:0_19:4
TG 53:5|TG 16:0_19:2_18:3
TG 53:7;O2|TG 17:2_20:3_16:2;O2
TG 54:0|TG 16:0_16:0_22:0
TG 54:10|TG 18:3_18:3_18:4
TG 54:11|TG 18:3_18:4_18:4
TG 54:3|TG 18:1_18:1_18:1
