gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___RNAseq.g5381.t1b,931.5808747813435,-0.6319305244740269,0.1457484408786165,-4.335761814428717,1.4525616654388459e-5,9.280605945053843e-4,BvsWT
Montipora_capitata_HIv3___RNAseq.g18958.t1,277.7839301069681,-0.8564291848665513,0.2609010699084361,-3.282582111170021,0.0010286102410107124,0.026738324110125018,BvsWT
Montipora_capitata_HIv3___RNAseq.g23544.t1,1135.9417119475108,-0.4703919937615687,0.10480621258754558,-4.488207160130379,7.1825068145070235e-6,5.244568329897179e-4,BvsWT
Montipora_capitata_HIv3___RNAseq.g35378.t1,17.913445070849036,-3.6885159100782574,0.9176148225354878,-4.01967777709433,5.8277792472883666e-5,0.0029722938321528,BvsWT
Montipora_capitata_HIv3___RNAseq.g43497.t1,17157.38260660016,-0.6807489965364086,0.11011716391967298,-6.1820425835975366,6.327745001467831e-10,1.3525267315864695e-7,BvsWT
Montipora_capitata_HIv3___RNAseq.g37093.t1,98.95400542876197,-1.0793548050909627,0.3111170568170193,-3.4692884283929684,5.218388975678004e-4,0.01667048391251919,BvsWT
Montipora_capitata_HIv3___RNAseq.g42328.t1,1113.481970003663,0.483931888786596,0.1076155525282947,4.49685828318689,6.896492161873906e-6,5.067197615936851e-4,BvsWT
Montipora_capitata_HIv3___RNAseq.g36802.t1b,472.1640075582832,0.5399150703326903,0.16748723273669813,3.2236192664397008,0.0012658157453908382,0.03118723883257641,BvsWT
Montipora_capitata_HIv3___RNAseq.g6201.t1,100.9066377892268,1.2236286313377254,0.3749080704499981,3.2638097917417923,0.001099249360851502,0.0279952009043994,BvsWT
Montipora_capitata_HIv3___RNAseq.g23403.t1,123.64024215864134,1.3210957905272103,0.25693991448572495,5.1416526434650445,2.7233226431164276e-7,2.9643871289330297e-5,BvsWT
Montipora_capitata_HIv3___RNAseq.g15786.t1,2689.669789287364,0.37740728483596275,0.09150497217048124,4.124445654524894,3.716287232584102e-5,0.002013302889689341,BvsWT
Montipora_capitata_HIv3___TS.g36344.t1,420.63700869231906,-0.6094270065030903,0.15604647992767803,-3.9054197620192266,9.406196570837775e-5,0.004327954868366688,BvsWT
Montipora_capitata_HIv3___RNAseq.g5003.t1,850.9698234292575,-0.5420071382242523,0.13868712196285762,-3.9081288194112895,9.301371125329297e-5,0.004313487926996892,BvsWT
Montipora_capitata_HIv3___RNAseq.g6057.t1,8.630876215947499,4.819474372431258,1.4007990754945276,3.440517956317059,5.806019101451321e-4,0.018057026602291464,BvsWT
Montipora_capitata_HIv3___RNAseq.g15795.t1,46.09927024726411,-2.217580253575804,0.6204074510496409,-3.5743933278428144,3.510408907712946e-4,0.012119931606188955,BvsWT
Montipora_capitata_HIv3___RNAseq.g13604.t2,664.0916016847907,-0.6059769338969337,0.1578244589268064,-3.8395628790209577,1.2325356050893495e-4,0.005317316907680878,BvsWT
Montipora_capitata_HIv3___RNAseq.g27563.t1,10.065384776435558,2.9609754221802222,0.5377599824315908,5.506128233624918,3.6681138393584844e-8,5.195463409096186e-6,BvsWT
