gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___RNAseq.g30023.t1,206.9244417332839,0.974943799916098,0.22381884615883574,4.355950433343836,1.3249075803442914e-5,1.3979411409259415e-4,33vs30
Montipora_capitata_HIv3___TS.g14523.t1,9130.89011161163,0.3539940091234929,0.07409739808987321,4.777414838428351,1.7756321163503733e-6,2.2956813208307935e-5,33vs30
Montipora_capitata_HIv3___TS.g14530.t1a,240.09776990121995,-1.3690692222411311,0.24199204091429571,-5.6574969039002525,1.535965867615872e-8,3.1185785859647965e-7,33vs30
Montipora_capitata_HIv3___RNAseq.g30037.t1,2657.798955393425,-0.3360739838539538,0.07777682292872574,-4.321004268352928,1.553206689459566e-5,1.6079314314355875e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g30039.t1,277.48993175886426,-0.7309730520139501,0.20076043741306449,-3.641021415539026,2.715585443137184e-4,0.0019890434501733615,33vs30
Montipora_capitata_HIv3___RNAseq.g30040.t1,1378.1132418566913,-0.45992858143879356,0.09758492808144177,-4.713110830547003,2.4396341738373913e-6,3.05588319421431e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g30042.t1,1572.5209574201463,0.3838074995471556,0.10918383571789123,3.5152410338361433,4.393550266775637e-4,0.003021384523052477,33vs30
Montipora_capitata_HIv3___RNAseq.g30043.t1,1449.460048229788,-0.8451073282945873,0.13774097178568157,-6.135482546250177,8.490108728391532e-10,2.1978042404079764e-8,33vs30
Montipora_capitata_HIv3___TS.g14541.t1,1709.3104825796204,-0.5027185334733718,0.089918109735201,-5.590848550462448,2.259626079082058e-8,4.4130631256585664e-7,33vs30
Montipora_capitata_HIv3___RNAseq.g30045.t1,1516.2629855312987,0.48873695328206423,0.1684273189705874,2.9017676958178784,0.0037106359267870207,0.018279756012674633,33vs30
Montipora_capitata_HIv3___RNAseq.g30046.t1,3046.4513558122558,-0.35819319512716297,0.08732668185224038,-4.1017611974910215,4.10017316264988e-5,3.810253585677658e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g30066.t1,550.7449644166693,-0.4393896895413265,0.13692879865596408,-3.2088917295279904,0.0013324765844371037,0.007718124666007483,33vs30
Montipora_capitata_HIv3___RNAseq.g30067.t1,26040.205796745857,0.3288227009780126,0.0428059601795117,7.6817036599356,1.56986654551786e-14,8.460040157095665e-13,33vs30
Montipora_capitata_HIv3___RNAseq.g30070.t1,2127.6378683757894,0.4764311510494877,0.07505056495567891,6.348135438165508,2.1794017686918895e-10,6.267818178912523e-9,33vs30
Montipora_capitata_HIv3___RNAseq.g30071.t1,207.51638889136404,0.7241345548086116,0.2176171970840022,3.327561261296317,8.76097240234637e-4,0.0054313199708293436,33vs30
Montipora_capitata_HIv3___RNAseq.g30072.t1,618.0758047667567,0.6948831755448156,0.1434450240852612,4.844247334308294,1.2709253417094571e-6,1.68761617769307e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g30075.t1,279.08071899431,1.0017138677096649,0.20839711112495807,4.806755056738872,1.5339974336203936e-6,2.0103210685485443e-5,33vs30
Montipora_capitata_HIv3___RNAseq.29390_t,2265.363598734867,0.7276249585758612,0.24387489713343782,2.9835992434175633,0.002848796317612049,0.014673400416641785,33vs30
Montipora_capitata_HIv3___RNAseq.g30086.t1,1341.3450647485415,0.4184815303655941,0.10318524082478507,4.055633606323618,4.9998582668142574e-5,4.5365710840016856e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g30092.t1,243.62467299654324,-0.6714674582461609,0.14446414259235232,-4.647987010457689,3.351900157328881e-6,4.064751689210864e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g30094.t1,253.6142815496691,-0.6516681371827009,0.144970726631615,-4.495170523899313,6.9514216600298455e-6,7.882720776233451e-5,33vs30
Montipora_capitata_HIv3___TS.g14622.t1,379.1087438943981,-0.4803450544713655,0.14118536468662968,-3.4022297958256744,6.683841193986969e-4,0.004337563902874514,33vs30
Montipora_capitata_HIv3___RNAseq.g30128.t1,226.01828598195624,-0.7321190775375366,0.19837027073126462,-3.6906693469675704,2.2366472466117584e-4,0.0016809471731215446,33vs30
Montipora_capitata_HIv3___RNAseq.g30143.t1,2813.7020723314167,-0.26635735711384445,0.08079108933061521,-3.2968655246601584,9.777030093582196e-4,0.005953199554077966,33vs30
Montipora_capitata_HIv3___RNAseq.g30158.t1,2770.1564973655427,-0.344546730371522,0.07689885185784331,-4.480518525926208,7.446191596186372e-6,8.377873617855545e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g30159.t1,2982.991938223912,-0.25440115296036364,0.0860650697274796,-2.9559164219109,0.003117415541287038,0.01581332515060161,33vs30
