Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.06.23 17:56:08,11.55,163.28,159.15,170.72,166.74,168.65,162.74,154.21,178.55,153.59,167.48,168.11,175.05,178.92,160.53,168.04,163.19,158.06,176.66,169.22,166.16,169.47,157.87,166.26,170.97,,33,965,33,29.63,
25.06.23 17:56:23,11.8,161.8,159.15,170.21,165.74,168.9,162,153.96,179.05,153.09,167.23,167.85,174.77,178.15,160.03,166.98,163.19,157.56,175.79,169.22,166.43,168.47,156.99,165.74,170.71,,33,965,33,29.63,
25.06.23 17:56:38,12.05,161.8,158.42,170.46,165.24,167.1,162.74,153.46,179.31,153.59,167.48,168.88,175.32,178.92,159.77,166.46,162.09,156.31,176.08,169.47,166.16,168.97,157.87,165.22,172,,33,965,33,29.69,
25.06.23 17:56:53,12.3,161.8,158.42,169.95,164,166.85,162.25,152.46,179.05,152.6,167.48,168.11,175.32,178.66,159.52,166.46,162.91,156.56,175.22,169.72,166.96,168.72,157.87,164.96,172,,33,965,33,29.74,
25.06.23 17:57:08,12.55,162.05,159.39,168.93,163.26,166.59,162,152.71,179.82,152.1,166.73,167.59,175.59,178.66,159.77,167.51,162.64,155.81,175.5,169.98,166.16,169.22,158.75,165.22,172,,33,965,33,29.77,
25.06.23 17:57:23,12.8,162.29,157.69,168.68,161.78,166.08,162,153.46,179.56,152.35,166.48,167.85,175.59,178.66,159.52,167.25,160.99,154.81,174.93,169.22,165.11,168.72,157.57,164.96,171.49,,33,965,33,29.78,
25.06.23 17:57:38,13.05,163.03,158.17,168.17,162.03,166.85,162.25,155.46,179.82,151.85,165.98,167.33,175.59,178.92,159.02,167.51,161.54,155.31,174.64,169.47,165.63,168.72,158.16,163.92,172,,33,965,33,29.81,
25.06.23 17:57:53,13.3,162.79,158.17,168.17,164.5,166.33,162,154.96,180.07,151.36,166.73,167.07,175.59,179.43,158.52,168.04,160.45,155.81,174.35,169.22,165.9,167.97,158.16,164.44,172.26,,33,965,33,29.83,
25.06.23 17:58:08,13.55,161.8,158.17,167.66,164.75,166.33,161.01,153.96,179.05,150.87,166.23,166.81,173.95,177.89,159.02,167.51,161.27,154.81,174.35,168.97,165.37,166.96,157.57,164.44,171.49,,33,965,33,29.85,
25.06.23 17:58:23,13.8,161.06,157.69,166.64,164.5,166.08,162.25,151.96,180.33,149.88,166.23,166.04,173.4,178.15,159.52,167.51,160.17,154.31,173.49,168.72,164.84,167.46,157.87,165.22,171.49,,33,965,33,29.88,
25.06.23 17:58:38,14.05,160.82,156.96,167.41,164.25,166.59,161.5,152.71,180.33,150.37,165.23,165.52,172.58,178.66,158.77,167.25,160.45,154.81,172.92,168.47,163.52,166.96,157.57,163.67,171.75,,33,965,33,29.89,
25.06.23 17:58:53,14.3,160.57,156.96,166.64,164.5,169.68,162,153.96,179.56,149.39,165.23,165.52,172.58,178.66,158.77,166.72,159.9,154.81,172.92,168.47,165.11,166.46,158.16,162.63,171.75,,33,965,33,29.91,
25.06.23 17:59:08,14.55,160.33,156.23,166.64,163.02,169.68,162.49,153.21,179.56,149.63,166.23,166.81,172.03,178.66,158.01,166.46,159.35,154.07,173.49,168.72,164.84,166.96,157.57,161.86,172,,33,965,33,29.95,
25.06.23 18:01:06,16.52,147,154.29,159.58,168.23,165.05,162.25,145.03,183.39,145.46,154.16,167.85,166.33,165.41,161.29,166.19,154.46,158.56,166.08,169.47,162.99,173.26,159.33,151.63,172.78,,33,965,33,30.13,965B6-(E1);
25.06.23 18:01:21,16.77,170.24,156.96,167.41,163.02,155.16,162.99,152.96,179.05,150.87,166.23,169.92,169.58,170.72,165.09,167.51,167.88,156.06,168.63,176.56,169.89,171.74,167.61,159.28,181.12,,33,965,33,30.14,965D6-(E1);
25.06.23 18:01:36,17.02,166,165.53,181.83,168.48,160.46,160.52,138.67,189.32,157.07,183.45,172.79,173.95,196.49,153.51,171.75,154.73,157.81,168.92,166.71,164.31,173,165.53,148.85,173.04,,33,965,33,30.17,965D6-(E1);
25.06.23 18:01:51,17.27,155.93,162.82,164.87,156.14,159.7,154.87,143.06,188.28,142.05,175.78,154.78,160.14,172.51,154.26,166.19,141.6,156.06,168.35,163.97,154.1,170.48,158.75,166.52,169.43,,33,965,33,30.2,965B6-(E1);
25.06.23 18:02:29,17.9,147.47,159.15,161.09,157.6,163.01,151.95,163.8,177.53,142.3,145.7,157.83,166.33,184.36,152.77,161.73,146.12,151.59,155.4,171.74,159.05,161.98,164.64,148.09,173.56,,33,965,33,30.23,965B6-(E1);
25.06.23 18:02:44,18.15,143.18,150.68,171.74,149.83,159.7,145.19,143.06,172.99,146.69,154.64,175.68,155.34,172.25,149.79,151.88,150.68,159.31,168.35,170.48,164.58,165.96,146.25,150.11,171.75,,33,965,33,30.24,965B6-(E1);
25.06.23 18:03:06,18.52,150.36,159.88,174.83,163.26,149.16,150.98,138.91,178.8,142.78,168.73,161.15,162.01,173.27,142.18,165.4,151.49,140.81,171.2,161.48,156.44,158.52,137.09,143.08,161.51,,33,965,33,30.28,965D6-(E1);
25.06.23 18:03:42,19.12,153.5,147.81,165.12,163.76,168.39,169.98,147.74,171.24,141.33,165.73,147.99,176.42,175.32,162.3,159.64,143.72,153.82,159.03,154.59,156.7,155.82,156.99,150.36,153.71,,33,965,33,30.28,965D6-(E1);
25.06.23 18:03:57,19.37,163.77,162.08,162.1,157.6,148.41,153.89,152.21,188.28,145.46,177.05,164.49,167.95,175.32,156.26,161.73,151.49,163.34,174.35,170.48,160.63,158.77,154.65,154.68,158.98,,33,965,33,30.31,965B6-(E1);
25.06.23 18:04:35,20,151.56,152.6,169.19,157.85,168.39,160.02,154.96,187.51,141.33,155.62,154.53,159.34,173.27,149.05,162.52,138.69,157.06,172.06,166.96,153.84,168.47,154.94,149.35,176.68,,33,965,33,30.34,965D6-(E1);
25.06.23 18:04:50,20.25,155.2,141.64,176.63,164.75,167.62,157.32,135.76,161.81,137.46,151,154.02,166.33,167.68,154.76,158.34,146.92,162.83,179.26,168.47,161.15,164.22,146.25,151.88,161.26,,33,965,33,30.35,965B6-(E1);
25.06.23 18:05:05,20.5,144.13,152.6,154.1,152.25,167.1,159.04,143.8,186.99,128.63,147.86,157.07,166.33,169.2,156.76,147.78,138.69,153.07,156.79,168.22,149.19,157.29,156.99,154.93,176.41,,33,965,33,30.36,965B6-(E1);
25.06.23 18:05:26,20.85,163.03,151.64,153.85,150.56,146.18,148.08,143.8,174,144.49,144.98,150.5,162.82,165.92,152.02,157.82,138.69,145.68,161,154.84,151.51,173.76,152.03,156.46,160.5,,33,965,33,30.41,965B6-(E1);
25.06.23 18:05:41,21.1,158.61,147.33,160.59,154.43,149.16,150.73,155.21,178.04,154.83,152.7,155.8,152.43,172.76,155.76,166.19,143.46,153.32,171.2,165.21,158.01,167.71,145.1,151.88,179.81,,33,965,33,30.41,965B6-(E1);
25.06.23 18:05:56,21.35,156.17,153.09,170.21,152.25,154.4,162.74,155.21,186.22,146.93,170.73,158.85,163.36,174.55,142.66,163.3,148.53,148.38,171.49,164.47,156.18,169.72,146.82,152.13,175.37,,33,965,33,30.44,965B6-(E1);
25.06.23 18:06:11,21.6,153.74,144.95,162.85,150.56,149.65,149.04,134.79,170.99,136.5,148.1,161.66,159.34,177.37,145.85,168.31,132.39,156.31,154.56,167.21,148.17,179.12,141.94,152.9,163.8,,33,965,33,30.45,965D6-(E1);
25.06.23 18:06:26,21.85,164.02,152.12,165.88,163.26,176.69,168.22,139.89,193.21,147.18,160.28,158.85,162.55,178.4,159.52,169.36,149.87,163.34,172.92,173.26,167.22,170.23,162.28,166.78,169.43,,33,965,33,30.46,965D6-(E1);
25.06.23 18:06:42,22.12,156.66,160.12,169.44,161.78,160.46,151.22,154.96,194.52,145.95,163.99,159.61,157.47,185.93,153.76,162.78,156.9,159.56,165.8,170.48,177.67,166.71,157.57,163.92,169.94,,33,965,33,30.48,965B6-(E1);
25.06.23 18:07:31,22.93,144.37,149.96,165.88,152.98,143.47,153.16,130.46,183.39,131.48,151.24,163.2,164.17,163.4,145.6,152.14,144.52,150.84,170.35,164.47,153.33,171.24,150,142.08,167.63,,33,965,33,30.49,965B6-(E1);
25.06.23 18:08:35,24,157.63,148.52,161.59,156.38,154.15,163.73,139.16,182.11,143.03,170.73,157.83,155.61,177.89,154.01,170.96,146.66,153.07,165.23,169.22,155.92,162.23,151.16,152.13,168.14,,33,965,33,30.5,965D6-(E1);
25.06.23 18:08:51,24.27,152.05,145.9,158.58,160.3,161.48,164.73,142.82,180.84,144.24,163.99,158.85,154.28,172.76,157.01,163.3,138.95,144.22,167.21,163.72,159.58,166.71,149.13,152.64,168.14,,33,965,33,30.53,965D6-(E1);
25.06.23 18:09:06,24.52,155.68,144.48,165.88,156.14,159.96,166.97,136.97,181.6,143.03,164.24,150.24,153.75,167.43,148.31,159.12,137.9,145.93,170.06,166.46,156.18,171.49,147.98,155.95,163.03,,33,965,33,30.56,965D6-(E1);
25.06.23 18:09:21,24.77,157.14,147.33,166.14,156.38,154.65,161.75,143.8,179.82,140.36,165.48,147.49,146.64,166.42,149.54,152.65,140.54,147.15,161,168.47,155.14,160.49,147.69,148.85,161,,33,965,33,30.58,965B6-(E1);
25.06.23 18:09:36,25.02,151.32,149.24,160.34,160.55,154.15,168.72,146.51,184.16,136.98,163.25,155.29,158.53,179.95,153.26,154.71,139.48,146.17,162.97,165.96,158.01,155.57,150.87,153.4,162.02,,33,965,33,30.6,965B6-(E1);
25.06.23 18:09:51,25.27,144.85,143.53,153.36,152.49,145.69,160.27,139.4,183.65,136.74,159.79,146.49,148.48,166.93,150.04,154.71,136.84,147.64,163.53,154.1,149.19,164.96,142.8,141.83,157.97,,33,965,33,30.61,965B6-(E1);
25.06.23 18:10:06,25.52,152.05,148.29,158.58,156.14,148.41,168.72,145.77,175.51,136.5,163.99,145.25,150.58,171.49,149.54,153.68,140.27,148.63,161.28,164.96,158.01,158.77,151.45,151.88,161.76,,33,965,33,30.63,965B6-(E1);
25.06.23 18:10:21,25.77,155.93,153.33,152.37,157.6,157.93,162.74,144.78,183.65,141.57,170.48,153.01,151.64,171.49,155.76,156.27,144.52,149.86,165.51,165.96,152.29,163.47,148.55,145.83,163.29,,33,965,33,30.66,965B6-(E1);
25.06.23 18:10:36,26.02,155.44,153.81,158.33,156.14,160.72,164.73,143.55,176.27,139.15,163.49,156.56,155.07,173.27,150.04,159.12,133.17,146.42,160.15,158.77,157.75,163.47,145.1,139.1,159.74,,33,965,33,30.67,965B6-(E1);
25.06.23 18:10:51,26.27,153.01,156.47,161.34,159.57,160.72,166.22,149.47,189.32,140.6,170.23,156.05,154.54,172.51,156.76,161.47,145.59,152.33,162.4,164.71,162.2,163.97,155.23,153.91,165.58,,33,965,33,30.7,965D6-(E1);
25.06.23 18:11:06,26.52,153.25,149.24,159.08,153.7,156.67,158.79,140.62,179.56,142.3,164.24,146.74,146.38,170.98,156.76,159.12,142.13,152.58,161,166.21,154.1,164.96,138.8,144.83,164.05,,33,965,33,30.71,965D6-(E1);
25.06.23 18:11:21,26.77,159.83,146.62,155.09,160.06,163.52,169.98,137.21,179.56,139.63,171.49,159.1,156.4,168.7,152.02,161.21,147.99,145.68,172.06,166.96,153.58,165.71,152.9,143.83,169.94,,33,965,33,30.74,965D6-(E1);
25.06.23 18:11:36,27.02,151.8,148.52,155.34,150.8,167.87,152.43,139.64,180.58,140.12,154.89,152.26,152.69,163.91,148.55,157.56,139.74,140.08,163.25,165.46,147.4,162.97,149.42,145.83,165.07,,33,965,33,30.74,965D6-(E1);
25.06.23 18:11:51,27.27,149.15,145.43,156.34,151.04,148.41,158.05,136.49,175.76,129.81,165.23,153.27,152.43,169.2,149.3,157.56,133.69,147.4,157.63,158.77,146.63,158.77,135.96,148.59,156.46,,33,965,33,30.75,965D6-(E1);
25.06.23 18:12:06,27.52,155.93,149.72,156.84,156.38,167.62,156.34,142.33,185.44,143.03,170.23,164.23,163.9,172,147.57,157.3,137.63,145.19,163.25,167.46,149.45,166.46,144.81,154.93,165.58,,33,965,33,30.77,965B6-(E1);
25.06.23 18:12:21,27.77,144.13,146.38,158.58,149.35,151.4,146.15,139.64,172.74,140.6,161.27,151.5,161.75,171.74,152.02,159.64,134.22,142.75,159.59,160.99,151.77,168.47,138.52,145.58,158.73,,33,965,33,30.8,965B6-(E1);
25.06.23 18:12:36,28.02,152.53,145.66,152.62,153.7,159.19,149.28,140.13,180.58,142.78,164.24,149.74,155.34,167.68,151.77,157.82,140.54,141.05,157.91,155.82,147.91,157.78,145.96,150.87,163.29,,33,965,33,30.81,965B6-(E1);
25.06.23 18:12:51,28.27,153.5,155.02,162.35,153.46,152.15,149.04,140.62,181.35,140.6,167.73,151,156.94,176.34,160.78,156.27,143.72,152.82,160.15,163.47,156.96,166.96,150.58,150.36,168.4,,33,965,33,30.83,965B6-(E1);
25.06.23 18:13:06,28.52,155.68,145.9,156.84,150.8,155.16,155.36,144.78,184.42,141.08,158.07,147.99,155.61,163.91,147.32,154.97,140.8,150.35,161.84,166.21,149.97,164.71,139.37,145.83,165.58,,33,965,33,30.85,965D6-(E1);
25.06.23 18:13:21,28.77,154.95,151.4,151.38,145.27,155.91,147.11,138.91,179.05,136.74,164.98,155.29,162.28,168.44,153.51,160.43,138.42,147.15,163.53,159.26,153.07,158.52,139.37,143.33,157.22,,33,965,33,30.85,965D6-(E1);
